,precision,recall,f1-score,support
help,0.9957264957264957,0.9433198380566802,0.9688149688149689,247.0
stop,0.9868421052631579,0.9375,0.9615384615384616,240.0
call,0.8932806324110671,0.9456066945606695,0.9186991869918699,239.0
ok,1.0,0.926530612244898,0.961864406779661,245.0
mute,0.8435114503816794,0.9484978540772532,0.8929292929292929,233.0
accuracy,0.9401993355481728,0.9401993355481728,0.9401993355481728,0.9401993355481728
macro avg,0.94387213675648,0.9402909997879002,0.9407692634108509,1204.0
weighted avg,0.9450322166052978,0.9401993355481728,0.9413163942451223,1204.0
